"","HAADF","O","Cr","Fe","Ni","Pb","Bi"
"Position","Intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity"
"m","Counts","Counts","Counts","Counts","Counts","Counts","Counts"
7.678484e-09,2.221361e+04,1.374127e-01,2.926254e-01,1.558046e+00,2.014473e-01,1.877632e-02,5.508219e-03
7.731439e-09,2.224940e+04,1.756578e-01,2.978102e-01,1.495580e+00,2.092728e-01,1.562992e-02,8.534241e-03
7.784394e-09,2.236322e+04,2.146876e-01,2.854400e-01,1.382187e+00,2.189057e-01,9.397894e-03,9.134037e-03
7.837349e-09,2.240718e+04,2.162677e-01,2.774154e-01,1.347765e+00,2.159785e-01,7.908808e-03,9.087868e-03
7.890304e-09,2.236691e+04,2.102019e-01,2.836707e-01,1.355935e+00,1.948250e-01,1.126930e-02,5.989892e-03
7.943259e-09,2.227606e+04,2.122946e-01,2.786725e-01,1.376834e+00,1.911201e-01,1.286127e-02,3.119958e-03
7.996214e-09,2.233499e+04,2.079533e-01,2.755592e-01,1.385699e+00,2.192163e-01,1.686164e-02,5.087692e-03
8.049169e-09,2.237250e+04,2.010414e-01,2.583245e-01,1.473376e+00,2.557710e-01,2.728764e-02,1.016139e-02
8.102124e-09,2.232778e+04,1.930928e-01,2.582639e-01,1.597747e+00,2.585279e-01,3.694949e-02,1.687809e-02
8.155079e-09,2.233104e+04,1.822986e-01,2.913105e-01,1.604836e+00,2.117714e-01,3.724612e-02,2.148728e-02
8.208034e-09,2.230661e+04,1.711611e-01,3.217181e-01,1.577576e+00,1.681674e-01,2.467232e-02,1.515695e-02
8.260989e-09,2.238001e+04,1.672411e-01,3.286269e-01,1.547393e+00,1.685511e-01,1.729235e-02,9.073380e-03
8.313944e-09,2.242503e+04,1.732932e-01,2.904237e-01,1.465147e+00,1.835933e-01,1.811124e-02,1.130244e-02
8.366899e-09,2.242665e+04,1.746994e-01,2.638140e-01,1.407158e+00,1.832993e-01,1.441388e-02,1.504113e-02
8.419854e-09,2.239679e+04,1.693056e-01,2.653790e-01,1.432393e+00,1.905890e-01,1.264751e-02,1.120269e-02
8.472809e-09,2.237735e+04,1.688026e-01,2.538845e-01,1.459857e+00,2.029422e-01,1.518341e-02,5.983518e-03
8.525764e-09,2.237301e+04,1.736972e-01,2.497750e-01,1.410425e+00,2.014189e-01,1.963527e-02,3.105259e-03
8.578720e-09,2.237438e+04,1.902867e-01,2.601998e-01,1.328126e+00,1.990149e-01,2.451710e-02,2.088994e-03
8.631675e-09,2.242006e+04,1.879295e-01,2.983330e-01,1.355355e+00,1.949612e-01,2.766967e-02,3.068551e-03
8.684630e-09,2.230562e+04,1.620771e-01,3.490374e-01,1.416735e+00,1.895475e-01,3.129355e-02,7.771387e-03
8.737585e-09,2.238909e+04,1.479644e-01,3.686601e-01,1.398679e+00,2.082490e-01,2.870592e-02,1.621092e-02
8.790540e-09,2.231033e+04,1.662138e-01,3.586576e-01,1.320826e+00,2.335561e-01,1.909016e-02,2.111774e-02
8.843495e-09,2.232430e+04,1.931481e-01,3.329455e-01,1.269014e+00,2.326678e-01,1.284481e-02,1.886201e-02
8.896450e-09,2.232516e+04,1.872851e-01,3.124476e-01,1.266504e+00,2.191479e-01,7.906747e-03,1.173464e-02
8.949405e-09,2.230749e+04,1.683994e-01,2.993017e-01,1.256661e+00,2.003637e-01,5.567540e-03,5.562253e-03
9.002360e-09,2.230076e+04,1.599901e-01,2.825552e-01,1.247452e+00,1.760784e-01,9.328410e-03,6.071976e-03
9.055315e-09,2.230460e+04,1.574510e-01,2.824534e-01,1.308964e+00,1.416049e-01,1.658821e-02,1.269812e-02
9.108270e-09,2.230941e+04,1.590394e-01,2.924868e-01,1.468966e+00,1.126200e-01,2.224987e-02,1.578613e-02
9.161225e-09,2.231418e+04,1.665013e-01,3.011480e-01,1.632109e+00,1.365809e-01,2.670551e-02,1.046074e-02
